Título,¿Aprueba?,Año,Dirección,Guionista(s)
Carlitos y Snoopy: La película de Peanuts,Sí,2015,Director,Hombre
Del revés (Inside Out),Sí,2015,Director,Mixto
El viaje de Arlo,Sí,2015,Director,Mujer
Home: Hogar dulce hogar,Sí,2015,Director,Hombre
Hotel Transilvania 2,Sí,2015,Director,Hombre
Minions,Sí,2015,Director,Hombre
Angry Birds: La película,No,2016,Director,Hombre
Buscando a Dory,Sí,2016,Director,Mixto
Cigüeñas,No,2016,Director,Hombre
Kubo y las dos cuerdas mágicas,No,2016,Director,Hombre
Kung Fu Panda 3,Sí,2016,Mixto,Hombre
La fiesta de las salchichas,Sí,2016,Director,Hombre
Mascotas,No,2016,Director,Hombre
Trolls,Sí,2016,Director,Mujer
Vaiana,Sí,2016,Director,
Zootrópolis,Sí,2016,Director,Hombre
"Capitán Calzoncillos, su primer peliculón",No,2017,Director,Hombre
Coco,Sí,2017,Director,Hombre
El bebé jefazo,No,2017,Director,Hombre
Emoji: La película,No,2017,Director,Hombre
Gru 3: Mi villano favorito,Sí,2017,Director,Hombre
Isla de perros,Sí,2018,Director,Hombre
Los Increíbles 2,Sí,2018,Director,Hombre
Peter Rabbit,No,2018,Director,Hombre
Ralph rompe Internet,Sí,2018,Director,Mixto
Smallfoot,Sí,2018,Director,Mixto
Spider-Man: Un nuevo universo,No,2018,Director,Mixto
Abominable,Sí,2019,Director,Hombre
El parque mágico,Sí,2019,Director,
El Rey León (2019),Sí,2019,Director,Hombre
El tiempo contigo,Sí,2019,Director,Hombre
Espías con disfraz,Sí,2019,Director,Hombre
Frozen 2,Sí,2019,Mixto,Mujer
La familia Addams,Sí,2019,Director,Mixto
La LEGO película 2,Sí,2019,Mixto,Hombre
My Hero Academia: El despertar de los héroes,Sí,2019,Director,Hombre
Toy Story 4,Sí,2019,Director,Mixto
Guardianes de la noche: Tren infinito,No,2020,Director,Hombre
Jiang Ziya,No,2020,Director,Hombre
Los Croods: Una nueva era,Sí,2020,Director,Hombre
Onward,Sí,2020,Director,Hombre
"Phineas y Ferb, la película: Candace contra el Universo",Sí,2020,Director,Mixto
"Sonic, la película",Sí,2020,Director,Hombre
Soul,Sí,2020,Director,Hombre
Trolls 2: Gira mundial,Sí,2020,Director,Hombre
¡Canta! 2,No,2021,Director,Hombre
Encanto,Sí,2021,Mixto,Mixto
Raya y el último dragón,Sí,2021,Director,Mixto
Space Jam: Nuevas leyendas,Sí,2021,Director,Hombre
Red,Sí,2022,Directora,Mujer
