title,year,rating,dubious,imdbid,id,década,title
While the City Sleeps,1928,2,0.0,19571,2017,1920s,While the City Sleeps
"Man Who Laughs, The",1928,2,0.0,19130,2021,1920s,The Man Who Laughs
"Crowd, The",1928,1,0.0,18806,5912,1920s,The Crowd
"Docks of New York, The",1928,2,1.0,18839,5984,1920s,The Docks of New York
Our Dancing Daughters,1928,2,0.0,19237,9314,1920s,Our Dancing Daughters
Un chien andalou,1929,0,0.0,20530,1313,1920s,Un chien andalou
"Cocoanuts, The",1929,2,0.0,19777,1953,1920s,The Cocoanuts
Welcome Danger,1929,0,0.0,20572,1962,1920s,Welcome Danger
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,3,1.0,18737,2324,1920s,Pandora&#39;s Box (Die B&uuml;chse der Pandora)
Man with a Movie Camera,1929,0,0.0,19760,3897,1920s,Man with a Movie Camera
Blackmail,1929,2,0.0,19702,5979,1920s,Blackmail
Throw of the Dice,1929,0,0.0,20286,6046,1920s,Throw of the Dice
Juno and the Paycock [The Shame of Mary Boyle],1929,3,0.0,21015,7287,1920s,Juno and the Paycock [The Shame of Mary Boyle]
Broadway Melody,1929,3,0.0,19729,8464,1920s,Broadway Melody
"Blue Angel, The",1930,1,0.0,20697,1315,1930s,The Blue Angel
All Quiet on the Western Front,1930,0,0.0,20629,1316,1930s,All Quiet on the Western Front
Anna Christie,1930,3,0.0,20641,1326,1930s,Anna Christie
Ladies of Leisure,1930,3,0.0,21040,3713,1930s,Ladies of Leisure
L&#39;Age d&#39;Or,1930,0,0.0,21577,3871,1930s,L&#39;Age d&#39;Or
Morocco,1930,1,0.0,21156,3865,1930s,Morocco
Min and Bill,1930,3,0.0,21148,3927,1930s,Min and Bill
Be Yourself,1930,2,0.0,20670,4253,1930s,Be Yourself
"Bat Whispers, The",1930,3,0.0,20668,6782,1930s,The Bat Whispers
Murder!,1930,3,0.0,21165,7291,1930s,Murder!
Animal Crackers,1930,3,0.0,20640,8463,1930s,Animal Crackers
M,1931,3,0.0,22100,610,1930s,M
M&auml;dchen in Uniform,1931,3,0.0,22183,628,1930s,M&auml;dchen in Uniform
Night Nurse,1931,3,0.0,22208,636,1930s,Night Nurse
Frankenstein,1931,1,0.0,21884,1317,1930s,Frankenstein
Anna Christie,1931,3,0.0,20642,1327,1930s,Anna Christie
Mata Hari,1931,3,0.0,23196,1333,1930s,Mata Hari
Tabu: A Story of the South Seas,1931,0,0.0,22458,1633,1930s,Tabu: A Story of the South Seas
Indiscreet,1931,3,0.0,22000,1828,1930s,Indiscreet
"Last Flight, The",1931,0,0.0,22054,1956,1930s,The Last Flight
Pardon Us,1931,0,0.0,22251,1974,1930s,Pardon Us
Dracula,1931,2,0.0,21814,1985,1930s,Dracula
Monkey Business,1931,1,0.0,22158,2384,1930s,Monkey Business
City Lights,1931,3,0.0,21749,2705,1930s,City Lights
"Smiling Lieutenant, The",1931,2,0.0,22074,4243,1930s,The Smiling Lieutenant
"Cheat, The",1931,3,1.0,21735,5741,1930s,The Cheat
"Public Enemy, The",1931,3,1.0,22286,5934,1930s,The Public Enemy
La Chienne,1931,3,0.0,21739,6030,1930s,La Chienne
A Nous la Liberte,1931,1,0.0,22599,6031,1930s,A Nous la Liberte
Little Caesar,1931,1,0.0,21079,6043,1930s,Little Caesar
"Skin Game, The",1931,3,0.0,22395,7294,1930s,The Skin Game
Rich and Strange [East of Shanghai],1931,2,0.0,23395,7296,1930s,Rich and Strange [East of Shanghai]
Dracula,1931,3,0.0,21815,8213,1930s,Dracula
Cimarron,1931,3,0.0,21746,8467,1930s,Cimarron
Hyppolit a lakaj,1931,1,0.0,21985,8557,1930s,Hyppolit a lakaj
Skippy,1931,3,1.0,22397,9095,1930s,Skippy
"Champ, The",1931,1,0.0,21730,9110,1930s,The Champ
I Am a Fugitive from a Chain Gang,1932,1,0.0,23042,1318,1930s,I Am a Fugitive from a Chain Gang
Grand Hotel,1932,3,0.0,22958,1328,1930s,Grand Hotel
"Age of Consent, The",1932,2,0.0,22614,1983,1930s,The Age of Consent
Horse Feathers,1932,1,0.0,23027,2383,1930s,Horse Feathers
White Zombie,1932,0,0.0,23694,2550,1930s,White Zombie
Boudu Saved from Drowning,1932,1,0.0,22718,2767,1930s,Boudu Saved from Drowning
"I Was Born, But...",1932,1,0.0,23634,3530,1930s,"I Was Born, But..."
"Most Dangerous Game, The",1932,0,0.0,23238,3658,1930s,The Most Dangerous Game
Freaks,1932,2,0.0,22913,3659,1930s,Freaks
Island of Lost Souls,1932,1,0.0,24188,3844,1930s,Island of Lost Souls
"Old Dark House, The",1932,3,0.0,23293,4775,1930s,The Old Dark House
Merrily We Go to Hell,1932,3,1.0,23213,5742,1930s,Merrily We Go to Hell
"Girl from Calgary, The",1932,2,0.0,22940,5783,1930s,The Girl from Calgary
Vampyr,1932,3,0.0,23649,5910,1930s,Vampyr
Shanghai Express,1932,3,0.0,23458,5929,1930s,Shanghai Express
Three on a Match,1932,3,0.0,23590,6051,1930s,Three on a Match
Love Me Tonight,1932,2,1.0,23158,6052,1930s,Love Me Tonight
Scarface,1932,1,0.0,23427,6063,1930s,Scarface
Red-Headed Woman,1932,3,0.0,23385,6092,1930s,Red-Headed Woman
"Death Kiss, The",1932,1,0.0,23935,6176,1930s,The Death Kiss
Thirteen Women,1932,3,0.0,23582,6852,1930s,Thirteen Women
"Blue Light (Das Blaue Licht), The",1932,1,0.0,22694,6990,1930s,The Blue Light (Das Blaue Licht)
Number 17,1932,0,0.0,23285,7301,1930s,Number 17
Footlight Parade,1933,3,0.0,24028,802,1930s,Footlight Parade
Queen Christina,1933,3,0.0,24481,1330,1930s,Queen Christina
"Private Life of Henry VIII., The",1933,1,0.0,24473,1248,1930s,The Private Life of Henry VIII.
King Kong,1933,0,0.0,24216,2229,1930s,King Kong
Little Women,1933,3,0.0,24264,2231,1930s,Little Women
Alice in Wonderland,1933,3,0.0,23753,3188,1930s,Alice in Wonderland
"Vampire Bat, The",1933,3,0.0,24727,3210,1930s,The Vampire Bat
42nd Street,1933,3,1.0,24034,4335,1930s,42nd Street
Day of Reckoning,1933,3,0.0,23932,5029,1930s,Day of Reckoning
Duck Soup,1933,1,0.0,23969,5185,1930s,Duck Soup
Tomorrow at Seven,1933,3,1.0,24679,5752,1930s,Tomorrow at Seven
Gold Diggers of 1933,1933,3,0.0,24069,5916,1930s,Gold Diggers of 1933
Female,1933,3,0.0,24008,6056,1930s,Female
A Study in Scarlet,1933,3,1.0,24625,6193,1930s,A Study in Scarlet
"Peanut Vendor, The",1933,0,0.0,24432,6205,1930s,The Peanut Vendor
"Invisible Man, The",1933,1,0.0,24184,7450,1930s,The Invisible Man
Baby Face,1933,3,0.0,23775,7528,1930s,Baby Face
Design for Living,1933,1,0.0,23940,8346,1930s,Design for Living
Cavalcade,1933,3,0.0,23876,8477,1930s,Cavalcade
It Happened One Night,1934,3,0.0,25316,621,1930s,It Happened One Night
"Cat&#39;s-Paw, The",1934,1,0.0,24961,1324,1930s,The Cat&#39;s-Paw
"Scarlet Empress, The",1934,3,0.0,25746,1325,1930s,The Scarlet Empress
"Painted Veil, The",1934,1,0.0,25617,1329,1930s,The Painted Veil
"Count of Monte Cristo, The",1934,1,0.0,25004,1246,1930s,The Count of Monte Cristo
Cleopatra,1934,1,0.0,24991,1270,1930s,Cleopatra
Of Human Bondage,1934,1,0.0,25586,1379,1930s,Of Human Bondage
L&#39;atalante,1934,0,0.0,24844,1795,1930s,L&#39;atalante
"Lost Patrol, The",1934,0,0.0,25423,1969,1930s,The Lost Patrol
Spitfire,1934,3,0.0,25822,4443,1930s,Spitfire
Maniac,1934,3,0.0,25465,4702,1930s,Maniac
Anne of Green Gables,1934,3,0.0,24831,5319,1930s,Anne of Green Gables
Lost in the Stratosphere,1934,2,0.0,25424,5523,1930s,Lost in the Stratosphere
Search for Beauty,1934,3,0.0,25755,5821,1930s,Search for Beauty
Evelyn Prentice,1934,3,0.0,25091,6772,1930s,Evelyn Prentice
"Man Who Knew Too Much, The",1934,3,0.0,25452,7304,1930s,The Man Who Knew Too Much
Imitation of Life,1934,3,0.0,25301,7999,1930s,Imitation of Life
Mystery Liner,1934,0,0.0,25543,8653,1930s,Mystery Liner
Top Hat,1935,2,0.0,27125,595,1930s,Top Hat
"39 Steps, The",1935,3,0.0,26029,1242,1930s,The 39 Steps
Anna Karenina,1935,2,0.0,26071,1261,1930s,Anna Karenina
Mutiny on the Bounty,1935,1,0.0,26752,1361,1930s,Mutiny on the Bounty
Naughty Marietta,1935,3,0.0,26768,1685,1930s,Naughty Marietta
Roberta,1935,3,0.0,26942,2362,1930s,Roberta
Magnificent Obsession,1935,3,0.0,26667,2756,1930s,Magnificent Obsession
