title,year,rating,dubious,imdbid,id,década,title
Blue Crush,2002,3,0.0,300532,552,2000s,Blue Crush
Whale Rider,2002,3,0.0,298228,598,2000s,Whale Rider
I&#39;m with Lucy,2002,0,0.0,282593,606,2000s,I&#39;m with Lucy
Catch Me If You Can,2002,2,0.0,264464,617,2000s,Catch Me If You Can
28 Days Later...,2002,3,0.0,289043,646,2000s,28 Days Later...
Star Wars: Episode II - Attack of the Clones,2002,3,1.0,121765,673,2000s,Star Wars: Episode II - Attack of the Clones
Lilo and Stitch,2002,3,0.0,275847,707,2000s,Lilo and Stitch
Ying xiong (Hero),2002,3,1.0,299977,732,2000s,Ying xiong (Hero)
Tan de repente,2002,3,0.0,324158,769,2000s,Tan de repente
"Ring, The",2002,3,0.0,298130,806,2000s,The Ring
Is It College Yet?,2002,3,0.0,285627,876,2000s,Is It College Yet?
My Big Fat Greek Wedding,2002,3,0.0,259446,907,2000s,My Big Fat Greek Wedding
Ripley&#39;s Game,2002,1,0.0,265651,1007,2000s,Ripley&#39;s Game
Divine Secrets of the Ya-Ya Sisterhood,2002,3,0.0,279778,1028,2000s,Divine Secrets of the Ya-Ya Sisterhood
"Santa Clause 2, The",2002,1,0.0,304669,1052,2000s,The Santa Clause 2
"Importance of Being Earnest, The",2002,3,0.0,278500,1562,2000s,The Importance of Being Earnest
Tuck Everlasting,2002,3,0.0,283084,1529,2000s,Tuck Everlasting
"Powerpuff Girls, The",2002,3,0.0,289408,1445,2000s,The Powerpuff Girls
Intimate Stories,2002,3,0.0,291988,1224,2000s,Intimate Stories
May,2002,3,0.0,303361,1110,2000s,May
Reign of Fire,2002,1,0.0,253556,1145,2000s,Reign of Fire
Secretary,2002,3,0.0,274812,1515,2000s,Secretary
"Rules of Attraction, The",2002,3,1.0,292644,1431,2000s,The Rules of Attraction
Neko no ongaeshi (The cat returns),2002,3,0.0,347618,1551,2000s,Neko no ongaeshi (The cat returns)
Ten,2002,3,0.0,301978,1456,2000s,Ten
Snow Dogs,2002,1,0.0,281373,1537,2000s,Snow Dogs
Frida,2002,2,0.0,120679,1659,2000s,Frida
Spider-Man,2002,1,0.0,145487,1730,2000s,Spider-Man
Froid comme l&#39;&eacute;t&eacute; (Cold as Summer),2002,3,0.0,305589,1745,2000s,Froid comme l&#39;&eacute;t&eacute; (Cold as Summer)
White Oleander,2002,3,0.0,283139,1787,2000s,White Oleander
Yossi &amp; Jagger,2002,2,0.0,334754,1809,2000s,Yossi &amp; Jagger
Tipping the Velvet,2002,3,0.0,324264,1875,2000s,Tipping the Velvet
Spy Kids 2: Island of Lost Dreams,2002,3,0.0,287717,1905,2000s,Spy Kids 2: Island of Lost Dreams
"Tuxedo, The",2002,0,1.0,290095,1908,2000s,The Tuxedo
Adaptation,2002,3,1.0,268126,1919,2000s,Adaptation
Spirit: Stallion of the Cimarron,2002,1,0.0,166813,1943,2000s,Spirit: Stallion of the Cimarron
Treasure Planet,2002,3,0.0,133240,1944,2000s,Treasure Planet
City of God,2002,1,0.0,317248,2038,2000s,City of God
Real Women Have Curves,2002,3,0.0,296166,2108,2000s,Real Women Have Curves
Blade II,2002,1,0.0,187738,2151,2000s,Blade II
Barbie as Rapunzel,2002,0,0.0,313255,2171,2000s,Barbie as Rapunzel
"Good Girl, The",2002,3,0.0,279113,2222,2000s,The Good Girl
Two Weeks Notice,2002,3,0.0,313737,2263,2000s,Two Weeks Notice
xXx,2002,1,0.0,295701,2268,2000s,xXx
Far from Heaven,2002,3,0.0,297884,2319,2000s,Far from Heaven
Harry Potter and the Chamber of Secrets,2002,3,0.0,295297,2332,2000s,Harry Potter and the Chamber of Secrets
"Magdalene Sisters, The",2002,3,0.0,318411,2403,2000s,The Magdalene Sisters
"Twilight Samurai, The",2002,3,0.0,351817,2418,2000s,The Twilight Samurai
24 Hour Party People,2002,1,0.0,274309,2450,2000s,24 Hour Party People
Marion Bridge,2002,3,0.0,329355,2477,2000s,Marion Bridge
Road to Perdition,2002,0,0.0,257044,2486,2000s,Road to Perdition
Cabin Fever,2002,3,0.0,303816,2495,2000s,Cabin Fever
Panic Room,2002,3,0.0,258000,2508,2000s,Panic Room
8 Mile,2002,1,0.0,298203,2545,2000s,8 Mile
Gangs of New York,2002,1,0.0,217505,2551,2000s,Gangs of New York
Wilbur Wants to Kill Himself,2002,3,0.0,329767,2605,2000s,Wilbur Wants to Kill Himself
Drumline,2002,1,0.0,303933,2888,2000s,Drumline
Home Room,2002,3,0.0,264689,2907,2000s,Home Room
Red Dragon,2002,1,0.0,289765,4325,2000s,Red Dragon
Death to Smoochy,2002,2,0.0,266452,3049,2000s,Death to Smoochy
About Schmidt,2002,1,0.0,257360,3060,2000s,About Schmidt
"Coast Guard, The",2002,1,0.0,341384,3163,2000s,The Coast Guard
Spun,2002,3,0.0,283003,4319,2000s,Spun
Amandla! A Revolution in Four Part Harmony,2002,3,0.0,303297,3309,2000s,Amandla! A Revolution in Four Part Harmony
"Banger Sisters, The",2002,3,0.0,280460,3310,2000s,The Banger Sisters
All or Nothing,2002,3,0.0,286261,3312,2000s,All or Nothing
Low-Flying Aircraft,2002,3,0.0,190975,3323,2000s,Low-Flying Aircraft
WiseGirls,2002,3,0.0,284655,3374,2000s,WiseGirls
Scooby-Doo,2002,3,0.0,267913,3449,2000s,Scooby-Doo
Waking Up in Reno,2002,3,0.0,219400,3463,2000s,Waking Up in Reno
Sympathy for Mr. Vengeance,2002,3,1.0,310775,3564,2000s,Sympathy for Mr. Vengeance
Carrie,2002,3,0.0,319970,3621,2000s,Carrie
"Sweetest Thing, The",2002,3,0.0,253867,3682,2000s,The Sweetest Thing
Die Another Day,2002,2,0.0,246460,3683,2000s,Die Another Day
Irreversible,2002,1,0.0,290673,3832,2000s,Irreversible
Funny Ha Ha,2002,3,0.0,327753,4032,2000s,Funny Ha Ha
Maid in Manhattan,2002,3,0.0,252076,4262,2000s,Maid in Manhattan
Cube2: Hypercube,2002,3,0.0,285492,4277,2000s,Cube2: Hypercube
"Dangerous Lives of Altar Boys, The",2002,1,0.0,238924,4351,2000s,The Dangerous Lives of Altar Boys
Maggie and Annie,2002,3,0.0,426089,4399,2000s,Maggie and Annie
Armitage: Dual Matrix,2002,1,1.0,303678,4429,2000s,Armitage: Dual Matrix
Queen of the Damned,2002,3,0.0,238546,4441,2000s,Queen of the Damned
"Hunchback of  Notre Dame II, The",2002,1,0.0,257778,4447,2000s,The Hunchback of  Notre Dame II
Lilya 4-Ever,2002,3,0.0,300140,4526,2000s,Lilya 4-Ever
Crossroads,2002,3,0.0,275022,4592,2000s,Crossroads
Igby Goes Down,2002,2,0.0,280760,4662,2000s,Igby Goes Down
Dark Water (Honogurai mizu no soko kara),2002,3,0.0,308379,4674,2000s,Dark Water (Honogurai mizu no soko kara)
Naqoyqatsi,2002,0,0.0,145937,4680,2000s,Naqoyqatsi
Bang Bang You&#39;re Dead,2002,1,0.0,288439,4695,2000s,Bang Bang You&#39;re Dead
Gerry,2002,0,0.0,302674,4738,2000s,Gerry
Solaris,2002,1,0.0,307479,4784,2000s,Solaris
Cypher,2002,1,0.0,284978,4785,2000s,Cypher
We Were Soldiers,2002,3,0.0,277434,4806,2000s,We Were Soldiers
demonlover,2002,3,0.0,284034,4832,2000s,demonlover
Antwone Fisher,2002,1,0.0,168786,4895,2000s,Antwone Fisher
25th Hour,2002,2,1.0,307901,5080,2000s,25th Hour
"Hot Chick, The",2002,3,0.0,302640,5151,2000s,The Hot Chick
Signs,2002,1,0.0,286106,5170,2000s,Signs
Punch-Drunk Love,2002,1,0.0,272338,5227,2000s,Punch-Drunk Love
A Walk to Remember,2002,3,0.0,281358,5254,2000s,A Walk to Remember
Undercover Brother,2002,3,0.0,279493,5276,2000s,Undercover Brother
They,2002,3,0.0,283632,5293,2000s,They
Teknolust,2002,3,0.0,270688,5300,2000s,Teknolust
Below,2002,0,0.0,276816,5339,2000s,Below
Moonlight Mile,2002,3,0.0,179098,5454,2000s,Moonlight Mile
"Pianist, The",2002,1,0.0,253474,5539,2000s,The Pianist
Ju-on: The Grudge,2002,3,0.0,364385,5571,2000s,Ju-on: The Grudge
"Master of Disguise, The",2002,1,0.0,295427,5621,2000s,The Master of Disguise
Dirty Pretty Things,2002,3,1.0,301199,5757,2000s,Dirty Pretty Things
Confessions of a Dangerous Mind,2002,2,0.0,270288,5793,2000s,Confessions of a Dangerous Mind
"Mothman Prophecies, The",2002,2,0.0,265349,5954,2000s,The Mothman Prophecies
Devdas,2002,3,0.0,238936,6027,2000s,Devdas
Life or Something Like It,2002,3,0.0,282687,6060,2000s,Life or Something Like It
Charlotte Sometimes,2002,2,0.0,284478,6088,2000s,Charlotte Sometimes
One Hour Photo,2002,1,0.0,265459,6239,2000s,One Hour Photo
Dracula: Pages from a Virgin&#39;s Diary,2002,1,0.0,293113,6273,2000s,Dracula: Pages from a Virgin&#39;s Diary
"Wild Thornberrys Movie, The",2002,3,0.0,282120,6382,2000s,The Wild Thornberrys Movie
"Rats, The",2002,3,0.0,282418,6579,2000s,The Rats
Asterix &amp; Obelix: Mission Cleopatra (Ast&eacute;rix et Ob&eacute;lix: Mission Cl&eacute;op&acirc;tre),2002,3,0.0,250223,6590,2000s,Asterix &amp; Obelix: Mission Cleopatra (Ast&eacute;rix et Ob&eacute;lix: Mission Cl&eacute;op&acirc;tre)
Cadet Kelly,2002,3,0.0,294425,6602,2000s,Cadet Kelly
El bonaerense,2002,1,0.0,315850,6751,2000s,El bonaerense
Time Changer,2002,0,0.0,295725,6766,2000s,Time Changer
Infernal Affairs,2002,1,0.0,338564,6802,2000s,Infernal Affairs
Big Girls Don&#39;t Cry,2002,3,0.0,291213,6810,2000s,Big Girls Don&#39;t Cry
Tomie: Saishuu-sho - kindan no kajitsu,2002,3,0.0,348226,6867,2000s,Tomie: Saishuu-sho - kindan no kajitsu
Embrassez qui vous voudrez,2002,3,0.0,290916,6890,2000s,Embrassez qui vous voudrez
"Scorpion King, The",2002,0,0.0,277296,6919,2000s,The Scorpion King
Unfaithful,2002,3,0.0,250797,6971,2000s,Unfaithful
K-19: The Widowmaker,2002,0,0.0,267626,7118,2000s,K-19: The Widowmaker
Los lunes al sol,2002,1,0.0,319769,7214,2000s,Los lunes al sol
Spider,2002,2,0.0,278731,7267,2000s,Spider
"Vagina Monologues, The",2002,0,0.0,244283,7306,2000s,The Vagina Monologues
Sweet Sixteen,2002,0,0.0,313670,7517,2000s,Sweet Sixteen
Sweet Home Alabama,2002,3,0.0,256415,7548,2000s,Sweet Home Alabama
About a Boy,2002,2,0.0,276751,7613,2000s,About a Boy
Amen.,2002,1,0.0,280653,7615,2000s,Amen.
Valami Amerika,2002,1,0.0,303184,7618,2000s,Valami Amerika
Dragonfly,2002,1,0.0,259288,7629,2000s,Dragonfly
A la folie... pas du tout,2002,3,0.0,291579,7638,2000s,A la folie... pas du tout
A mi madre le gustan las mujeres,2002,3,0.0,306432,7649,2000s,A mi madre le gustan las mujeres
No Night Is Too Long,2002,1,0.0,313410,7652,2000s,No Night Is Too Long
Rose Red,2002,3,0.0,259153,7755,2000s,Rose Red
Dog Soldiers,2002,0,0.0,280609,7756,2000s,Dog Soldiers
Windtalkers,2002,0,0.0,245562,7757,2000s,Windtalkers
Hable con ella [Talk to Her],2002,3,0.0,287467,7774,2000s,Hable con ella [Talk to Her]
Friday After Next,2002,2,0.0,293815,7789,2000s,Friday After Next
Femme Fatale,2002,3,0.0,280665,7997,2000s,Femme Fatale
A hidember,2002,1,0.0,310567,8547,2000s,A hidember
Morvern Callar,2002,3,0.0,300214,8704,2000s,Morvern Callar
Cheats,2002,3,1.0,250292,8773,2000s,Cheats
Loenatik - De moevie,2002,3,0.0,285300,8795,2000s,Loenatik - De moevie
"Slap Her, She&#39;s French!",2002,3,0.0,187512,8856,2000s,"Slap Her, She&#39;s French!"
Ghost Ship,2002,3,0.0,288477,8963,2000s,Ghost Ship
A Ring of Endless Light,2002,3,0.0,282123,9016,2000s,A Ring of Endless Light
Get a Clue,2002,3,0.0,282521,9042,2000s,Get a Clue
Tru Confessions,2002,3,0.0,296251,9043,2000s,Tru Confessions
Bungalow,2002,1,0.0,309404,9365,2000s,Bungalow
Ben &amp; Arthur,2002,1,0.0,364986,9343,2000s,Ben &amp; Arthur
"Time Machine, The",2002,1,0.0,268695,9620,2000s,The Time Machine
Planet of the Erotic Ape,2002,3,0.0,376078,9754,2000s,Planet of the Erotic Ape
Enough,2002,2,1.0,278435,9826,2000s,Enough
"Sum of All Fears, The",2002,1,0.0,164184,10041,2000s,The Sum of All Fears
Brown  Sugar,2002,2,0.0,297037,9903,2000s,Brown  Sugar
Dummy,2002,3,0.0,246592,9919,2000s,Dummy
Big Fat Liar,2002,3,0.0,265298,9990,2000s,Big Fat Liar
Hysterical Blindness,2002,3,0.0,290664,10141,2000s,Hysterical Blindness
Angels in America,2003,3,0.0,318997,39,2000s,Angels in America
S.W.A.T.,2003,3,0.0,257076,41,2000s,S.W.A.T.
Runaway Jury,2003,1,0.0,313542,45,2000s,Runaway Jury
"Italian Job, The",2003,1,0.0,317740,48,2000s,The Italian Job
Underworld,2003,3,1.0,320691,44,2000s,Underworld
"Recruit, The",2003,1,0.0,292506,55,2000s,The Recruit
"Matrix Reloaded, The",2003,2,0.0,234215,58,2000s,The Matrix Reloaded
"Matrix Revolutions, The",2003,3,0.0,242653,59,2000s,The Matrix Revolutions
X2 (X-Men 2),2003,3,,290334,102,2000s,X2 (X-Men 2)
Shanghai Knights,2003,1,,300471,123,2000s,Shanghai Knights
Identity,2003,1,,309698,126,2000s,Identity
Bruce Almighty,2003,3,,315327,142,2000s,Bruce Almighty
"Lord of the Rings: The Return of the King, The",2003,1,,167260,248,2000s,The Lord of the Rings: The Return of the King
Monster,2003,3,,340855,271,2000s,Monster
Calendar Girls,2003,3,,337909,292,2000s,Calendar Girls
Tokyo Godfathers,2003,3,,388473,299,2000s,Tokyo Godfathers
"Core, The",2003,3,,298814,320,2000s,The Core
Scary Movie 3,2003,3,,306047,325,2000s,Scary Movie 3
Lara Croft Tomb Raider: The Cradle of Life,2003,3,0.0,325703,411,2000s,Lara Croft Tomb Raider: The Cradle of Life
Kill Bill: Vol. 1,2003,3,0.0,266697,508,2000s,Kill Bill: Vol. 1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,3,0.0,325980,510,2000s,Pirates of the Caribbean: The Curse of the Black Pearl
Uptown Girls,2003,3,0.0,263757,624,2000s,Uptown Girls
Finding Nemo,2003,1,0.0,266543,778,2000s,Finding Nemo
Love Actually,2003,3,0.0,314331,779,2000s,Love Actually
"Room, The",2003,3,0.0,368226,837,2000s,The Room
Master and Commander: The Far Side of the World,2003,0,0.0,311113,841,2000s,Master and Commander: The Far Side of the World
Under the Tuscan Sun,2003,3,0.0,328589,895,2000s,Under the Tuscan Sun
Les triplettes de Belleville,2003,3,0.0,286244,941,2000s,Les triplettes de Belleville
Sinbad: Legend of the Seven Seas,2003,2,0.0,165982,958,2000s,Sinbad: Legend of the Seven Seas
Swimming Pool,2003,3,0.0,324133,983,2000s,Swimming Pool
Lost In Translation,2003,3,1.0,335266,1041,2000s,Lost In Translation
"Jungle Book 2, The",2003,0,0.0,283426,1061,2000s,The Jungle Book 2
Hollywood Homicide,2003,1,0.0,329717,1073,2000s,Hollywood Homicide
"Five Obstructions, The",2003,0,0.0,354575,1225,2000s,The Five Obstructions
Holes,2003,2,0.0,311289,1136,2000s,Holes
How to Lose a Guy in 10 Days,2003,3,0.0,251127,1153,2000s,How to Lose a Guy in 10 Days
Girls Will Be Girls,2003,3,0.0,339071,1514,2000s,Girls Will Be Girls
View from the Top,2003,3,0.0,264150,1432,2000s,View from the Top
Freaky Friday,2003,3,0.0,322330,1095,2000s,Freaky Friday
I Capture the Castle,2003,3,0.0,300015,1450,2000s,I Capture the Castle
Cold Mountain,2003,3,0.0,159365,1458,2000s,Cold Mountain
Mona Lisa Smile,2003,3,0.0,304415,1460,2000s,Mona Lisa Smile
"Blind Swordsman: Zatoichi, The",2003,2,0.0,363226,1527,2000s,The Blind Swordsman: Zatoichi
Nothing,2003,0,0.0,298482,1541,2000s,Nothing
Rats,2003,3,0.0,277986,1473,2000s,Rats
Down With Love,2003,3,0.0,309530,1400,2000s,Down With Love
"Last Samurai, The",2003,0,0.0,325710,1404,2000s,The Last Samurai
"Missing, The",2003,3,0.0,338188,1467,2000s,The Missing
Stara basn. Kiedy slonce bylo bogiem (An Ancient Tale: When the Sun was God),2003,2,0.0,380726,1610,2000s,Stara basn. Kiedy slonce bylo bogiem (An Ancient Tale: When the Sun was God)
"Best of Youth, The",2003,3,0.0,346336,1767,2000s,The Best of Youth
"Legally Blonde 2: Red, White &amp; Blonde",2003,3,0.0,333780,1858,2000s,"Legally Blonde 2: Red, White &amp; Blonde"
Spy Kids 3-D: Game Over,2003,3,0.0,338459,1906,2000s,Spy Kids 3-D: Game Over
Le divorce,2003,3,0.0,306734,1997,2000s,Le divorce
Goodbye Lenin!,2003,3,0.0,301357,2044,2000s,Goodbye Lenin!
"League of Extraordinary Gentlemen, The",2003,0,0.0,311429,2097,2000s,The League of Extraordinary Gentlemen
Distant Lights (Lichter),2003,3,1.0,351238,2107,2000s,Distant Lights (Lichter)
Dead Like Me,2003,3,0.0,348913,2167,2000s,Dead Like Me
Daredevil,2003,0,0.0,287978,2193,2000s,Daredevil
In the Cut,2003,3,0.0,199626,2262,2000s,In the Cut
A Tale of Two Sisters,2003,3,0.0,365376,2320,2000s,A Tale of Two Sisters
Thirteen,2003,3,0.0,328538,2380,2000s,Thirteen
Undead,2003,3,0.0,339840,2381,2000s,Undead
Big Fish,2003,1,0.0,319061,2402,2000s,Big Fish
"Barbarian Invasions, The",2003,3,0.0,338135,2499,2000s,The Barbarian Invasions
Something&#39;s Gotta Give,2003,3,1.0,337741,2500,2000s,Something&#39;s Gotta Give
Prey for Rock &amp; Roll,2003,3,1.0,307351,2510,2000s,Prey for Rock &amp; Roll
Dogville,2003,3,0.0,276919,2515,2000s,Dogville
Shattered Glass,2003,2,0.0,323944,2521,2000s,Shattered Glass
Sunset Story,2003,3,0.0,368310,2564,2000s,Sunset Story
House of Sand and Fog,2003,3,0.0,315983,2611,2000s,House of Sand and Fog
2LDK,2003,3,0.0,362387,2741,2000s,2LDK
Final Destination 2,2003,3,0.0,309593,2821,2000s,Final Destination 2
Casa de los babys,2003,3,0.0,303830,2844,2000s,Casa de los babys
Secondhand Lions,2003,1,0.0,327137,2890,2000s,Secondhand Lions
"Dreamers, The",2003,2,1.0,309987,2891,2000s,The Dreamers
Tough Luck,2003,0,0.0,376263,2901,2000s,Tough Luck
Girl with a Pearl Earring,2003,3,0.0,335119,2957,2000s,Girl with a Pearl Earring
Peter Pan,2003,3,0.0,316396,2979,2000s,Peter Pan
It&#39;s Better to Be Wanted for Murder Than Not to Be Wanted at All,2003,1,1.0,339882,3137,2000s,It&#39;s Better to Be Wanted for Murder Than Not to Be Wanted at All
Scary Godmother: Halloween Spooktakular,2003,3,0.0,330859,3201,2000s,Scary Godmother: Halloween Spooktakular
Hulk,2003,1,0.0,286716,3227,2000s,Hulk
Charlie&#39;s Angels: Full Throttle,2003,3,0.0,305357,3263,2000s,Charlie&#39;s Angels: Full Throttle
"School of Rock, The",2003,3,1.0,332379,3421,2000s,The School of Rock
Jeepers Creepers II,2003,3,0.0,301470,3542,2000s,Jeepers Creepers II
Terminator 3: Rise of the Machines,2003,3,0.0,181852,3630,2000s,Terminator 3: Rise of the Machines
Wrong Turn,2003,3,0.0,295700,3645,2000s,Wrong Turn
Daddy Day Care,2003,3,0.0,317303,3700,2000s,Daddy Day Care
Voices of a Distant Star,2003,0,0.0,370754,3773,2000s,Voices of a Distant Star
Mystic River,2003,3,0.0,327056,3848,2000s,Mystic River
Apr&egrave;s Vous,2003,3,1.0,344604,3902,2000s,Apr&egrave;s Vous
Bon voyage,2003,3,0.0,310778,4035,2000s,Bon voyage
Moi et mon blanc,2003,1,0.0,377094,4109,2000s,Moi et mon blanc
Dreamcatcher,2003,0,0.0,285531,4161,2000s,Dreamcatcher
Oldboy,2003,1,0.0,364569,4183,2000s,Oldboy
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,0,0.0,368667,4184,2000s,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
Coffee and Cigarettes,2003,3,0.0,379217,4302,2000s,Coffee and Cigarettes
"Mother, The",2003,3,0.0,323298,4349,2000s,The Mother
Cradle 2 the Grave,2003,1,0.0,306685,4378,2000s,Cradle 2 the Grave
Ong-bak,2003,0,0.0,368909,5141,2000s,Ong-bak
Camp,2003,3,0.0,342167,4511,2000s,Camp
Timeline,2003,1,0.0,300556,4502,2000s,Timeline
Pride and Prejudice,2003,3,0.0,366920,4562,2000s,Pride and Prejudice
De gr&oslash;nne slagtere (&#39;Green Butchers&#39;),2003,1,0.0,342492,4723,2000s,De gr&oslash;nne slagtere (&#39;Green Butchers&#39;)
Malibu Spring Break,2003,3,0.0,379363,4745,2000s,Malibu Spring Break
2 Fast 2 Furious,2003,1,0.0,322259,4820,2000s,2 Fast 2 Furious
"Forest for the Trees, The",2003,3,0.0,386862,4829,2000s,The Forest for the Trees
21 grams,2003,3,1.0,315733,4845,2000s,21 grams
Darkness Falls,2003,1,0.0,282209,4868,2000s,Darkness Falls
"Spring, Summer, Fall, Winter... and Spring",2003,1,0.0,374546,4938,2000s,"Spring, Summer, Fall, Winter... and Spring"
House of the Dead,2003,2,0.0,317676,5056,2000s,House of the Dead
Elephant,2003,3,0.0,363589,5107,2000s,Elephant
"Heung joh chow heung yau chow (Turn Left, Turn Right)",2003,3,1.0,367174,5278,2000s,"Heung joh chow heung yau chow (Turn Left, Turn Right)"
"Man Who Copied, The",2003,2,0.0,367859,5289,2000s,The Man Who Copied
Gothika,2003,3,0.0,348836,5360,2000s,Gothika
High Roller: The Stu Ungar Story,2003,3,1.0,338467,5419,2000s,High Roller: The Stu Ungar Story
Stupeur et Tremblements,2003,3,0.0,318725,5422,2000s,Stupeur et Tremblements
Dies irae,2003,0,0.0,406709,5430,2000s,Dies irae
My Boss&#39;s Daughter,2003,3,0.0,270980,5503,2000s,My Boss&#39;s Daughter
Basic,2003,3,1.0,264395,5567,2000s,Basic
Intolerable Cruelty,2003,3,0.0,138524,5806,2000s,Intolerable Cruelty
High Tension,2003,3,0.0,338095,5819,2000s,High Tension
An Unexpected Love,2003,3,0.0,329679,5825,2000s,An Unexpected Love
"Lizzie McGuire Movie, The",2003,3,0.0,306841,6161,2000s,The Lizzie McGuire Movie
Fear X,2003,1,0.0,289944,6234,2000s,Fear X
"Station Agent, The",2003,3,0.0,340377,6301,2000s,The Station Agent
Rugrats Go Wild,2003,3,0.0,337711,6379,2000s,Rugrats Go Wild
Ju-on 2,2003,3,0.0,367913,6446,2000s,Ju-on 2
Once Upon a Time in Mexico,2003,1,0.0,285823,6626,2000s,Once Upon a Time in Mexico
Johnny English,2003,1,0.0,274166,6662,2000s,Johnny English
Robot Stories,2003,3,1.0,301777,6698,2000s,Robot Stories
Time of the Wolf,2003,2,0.0,324197,6745,2000s,Time of the Wolf
Bu san,2003,0,0.0,377556,6801,2000s,Bu san
Old School,2003,2,0.0,302886,6986,2000s,Old School
"Cheetah Girls , The",2003,3,0.0,800318,6995,2000s,The Cheetah Girls 
Soldier&#39;s Girl,2003,3,0.0,324013,6997,2000s,Soldier&#39;s Girl
Brother Bear,2003,0,0.0,328880,7027,2000s,Brother Bear
Memories of Murder,2003,3,1.0,353969,7093,2000s,Memories of Murder
Evil,2003,1,0.0,338309,7392,2000s,Evil
House of 1000 Corpses,2003,3,0.0,251736,7512,2000s,House of 1000 Corpses
What a Girl Wants,2003,1,0.0,286788,7600,2000s,What a Girl Wants
Love Me If You Dare,2003,1,0.0,364517,7554,2000s,Love Me If You Dare
My Life Without Me,2003,3,0.0,314412,7666,2000s,My Life Without Me
Hot Wheels: World Race Highway 35,2003,1,0.0,377191,7726,2000s,Hot Wheels: World Race Highway 35
Bad Santa,2003,0,0.0,307987,7967,2000s,Bad Santa
Elf,2003,1,0.0,319343,8002,2000s,Elf
I&#39;m Not Scared,2003,3,0.0,326977,8198,2000s,I&#39;m Not Scared
Freddy vs. Jason,2003,3,0.0,329101,8242,2000s,Freddy vs. Jason
Open Water,2003,1,0.0,374102,8315,2000s,Open Water
Off the Map,2003,3,0.0,332285,8292,2000s,Off the Map
Anger Management,2003,1,0.0,305224,8436,2000s,Anger Management
Kontroll,2003,0,0.0,373981,8530,2000s,Kontroll
Nathalie...,2003,3,0.0,348853,8695,2000s,Nathalie...
Kangaroo Jack,2003,1,0.0,257568,8731,2000s,Kangaroo Jack
April&#39;s Shower,2003,3,0.0,325007,8794,2000s,April&#39;s Shower
Right on Track,2003,3,0.0,323810,8897,2000s,Right on Track
Cheaper by the Dozen,2003,1,0.0,349205,8865,2000s,Cheaper by the Dozen
Barbie of Swan Lake,2003,3,0.0,383206,8879,2000s,Barbie of Swan Lake
Owning Mahowny,2003,1,0.0,285861,8925,2000s,Owning Mahowny
Sylvia,2003,3,1.0,325055,9084,2000s,Sylvia
Milchwald,2003,3,0.0,331698,9366,2000s,Milchwald
Azumi,2003,0,0.0,384819,9549,2000s,Azumi
Tears of the Sun,2003,3,0.0,314353,9576,2000s,Tears of the Sun
Avenue Q,2003,2,0.0,5657412,9582,2000s,Avenue Q
Mais qui a tu&eacute; Pamela Rose?,2003,1,0.0,338828,9586,2000s,Mais qui a tu&eacute; Pamela Rose?
Paycheck,2003,2,0.0,338337,9605,2000s,Paycheck
Warrior Queen,2003,3,0.0,338806,9610,2000s,Warrior Queen
In Hell,2003,0,0.0,339135,9743,2000s,In Hell
Gigli,2003,0,0.0,299930,9784,2000s,Gigli
"Brown Bunny, The",2003,3,0.0,330099,9808,2000s,The Brown Bunny
Pokemon: Jirachi - Wish Maker,2003,3,1.0,420076,9981,2000s,Pokemon: Jirachi - Wish Maker
"Cat in the Hat, The",2003,3,0.0,312528,9985,2000s,The Cat in the Hat
Bad Boys II,2003,1,1.0,172156,10055,2000s,Bad Boys II
"Hebrew Hammer, The",2003,2,0.0,317640,10153,2000s,The Hebrew Hammer
"I, Robot",2004,1,0.0,343818,37,2000s,"I, Robot"
"Incredibles, The",2004,3,0.0,317705,50,2000s,The Incredibles
"Day After Tomorrow, The",2004,3,,319262,75,2000s,The Day After Tomorrow
"Butterfly Effect, The",2004,2,,289879,104,2000s,The Butterfly Effect
"Bourne Supremacy, The",2004,2,,372183,108,2000s,The Bourne Supremacy
"Whole Ten Yards, The",2004,1,,327247,132,2000s,The Whole Ten Yards
Eternal Sunshine of the Spotless Mind,2004,2,,338013,133,2000s,Eternal Sunshine of the Spotless Mind
Kinsey,2004,3,,362269,156,2000s,Kinsey
Shrek 2,2004,3,,298148,162,2000s,Shrek 2
Mean Girls,2004,3,,377092,199,2000s,Mean Girls
Harold and Kumar Go to White Castle,2004,3,,366551,213,2000s,Harold and Kumar Go to White Castle
Hauru no ugoku shiro (Howl's Moving Castle),2004,3,,347149,258,2000s,Hauru no ugoku shiro (Howl's Moving Castle)
Resident Evil: Apocalypse,2004,3,,318627,281,2000s,Resident Evil: Apocalypse
Wimbledon,2004,3,,360201,342,2000s,Wimbledon
Ae Fond Kiss...,2004,2,,380366,349,2000s,Ae Fond Kiss...
Anchorman: The Legend of Ron Burgundy,2004,3,,357413,352,2000s,Anchorman: The Legend of Ron Burgundy
Flight of the Phoenix,2004,0,0.0,377062,472,2000s,Flight of the Phoenix
Ocean's Twelve,2004,2,0.0,349903,475,2000s,Ocean's Twelve
Kill Bill: Vol. 2,2004,3,0.0,378194,509,2000s,Kill Bill: Vol. 2
